# AffiLabs Cycle Autosave
# Timestamp,2025-11-26T08:35:36.009755
# Cycle Start,0.000 s
# Cycle Stop,105.982 s
# Duration,105.982 s
# Filter Enabled,True
# Filter Strength,1
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
32.6539,600.1213,2929.4072,597.2904,-447.3658,610.7573,-5168.4601,670.2476,52424.8693
33.6097,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
33.6097,599.1367,1944.8067,596.6244,-1113.3198,609.6722,-6253.5302,670.1155,52292.8122
34.4408,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
34.4408,599.1367,1944.8067,596.6244,-1113.3198,607.1425,-8783.2365,670.7705,52947.7533
35.4484,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
35.4484,599.4353,2243.4632,597.3721,-365.6830,606.6428,-9282.8753,671.6373,53814.5393
36.4567,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
36.4567,599.3828,2190.9311,597.3721,-365.6830,610.0989,-5826.8239,674.6074,56784.7159
37.3511,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
37.3511,597.7409,549.0751,599.1176,1379.8529,615.4206,-505.1359,677.9772,60154.5237
38.2481,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
38.2481,597.0933,-98.5571,597.6929,-44.8677,615.4206,-505.1359,677.9772,60154.5237
39.0874,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
39.0874,596.7179,-473.9364,595.6567,-2081.0726,610.6394,-5286.2878,677.2079,59385.2098
40.2150,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
40.2150,597.0933,-98.5571,595.6567,-2081.0726,606.9418,-8983.8721,673.1270,55304.2796
41.1499,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
41.1499,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
42.1675,597.0933,-98.5571,595.6567,-2081.0726,618.5733,2647.6304,677.9772,60154.5237
42.1675,599.2655,2073.6192,596.9989,-738.8356,616.6422,716.4933,670.3254,52502.6972
43.3811,599.2655,2073.6192,598.1133,375.5622,605.2713,-10654.3951,669.8016,51978.8880
44.6599,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
44.6599,598.0849,893.0150,603.8040,6066.2537,605.2713,-10654.3951,669.8016,51978.8880
45.5825,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
45.5825,598.0849,893.0150,603.7424,6004.6637,605.7201,-10205.5848,670.7236,52900.8417
46.5418,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
46.5418,597.5055,313.6013,603.7424,6004.6637,611.6564,-4269.3262,671.1795,53356.8115
47.5586,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
47.5586,594.0898,-3102.0413,602.9742,5236.4582,613.9529,-1972.8374,670.9194,53096.6749
48.5129,602.7478,5555.9673,596.9989,-738.8356,616.6422,716.4933,669.6508,51828.1104
