channel_a,timestamp_a,channel_b,timestamp_b,channel_c,timestamp_c,channel_d,timestamp_d
646.4860280473076,1764225319.6620536,642.7250665634275,1764225320.0488417,643.1030699924914,1764225320.4626327,654.5310008431659,1764225320.9301007
646.4730709654655,1764225321.373025,642.7543328090653,1764225321.8208704,643.1006056873741,1764225322.2307138,654.5541907228466,1764225322.764595
646.4777312962178,1764225323.1276364,642.7219839300092,1764225324.388561,643.1443697051255,1764225325.7421837,654.5672305320861,1764225326.3644447
646.4971613459523,1764225326.924154,642.7330332269806,1764225327.481908,643.1502688940212,1764225328.5429127,654.5558891525116,1764225329.2152412
646.4774627925017,1764225329.6483986,642.7532238098128,1764225330.1920722,643.1439811707537,1764225331.0472238,654.5681294349334,1764225331.7178333
646.4083199021803,1764225332.2198422,642.7374428627977,1764225332.689013,643.0919800520476,1764225333.1583338,654.5494765151739,1764225333.7114568
646.4696372316243,1764225334.1060405,642.7509799978708,1764225334.561499,643.1147794951496,1764225335.0500348,654.5761933232786,1764225335.4571269
646.4746900150398,1764225335.8594756,642.7365313122957,1764225336.2330356,643.119568955164,1764225336.883265,654.5491144561024,1764225337.269308
646.4976913476281,1764225337.72827,642.7154035347545,1764225338.0656781,643.104680967033,1764225338.477781,654.5446933524003,1764225338.8741574
646.4608734127386,1764225339.2441213,642.714764957458,1764225339.639457,643.1314773558141,1764225339.9995425,654.5333657090431,1764225340.3913066
646.4798883632012,1764225340.813898,642.735237168925,1764225341.1704135,643.1090303720412,1764225341.5713422,654.5547967414257,1764225341.934446
646.4694372906441,1764225342.3068204,642.719676604797,1764225342.7408342,643.1267432571253,1764225343.1053343,654.4948351083675,1764225343.496673
646.4748754979036,1764225343.8705432,642.7386005250229,1764225344.2307425,643.1133264224374,1764225344.6252024,654.4405674061561,1764225344.9963584
646.4987209865401,1764225345.454033,642.690761746693,1764225345.9004452,643.1092817487875,1764225346.2552145,654.5617217575774,1764225346.7589908
646.4927545741498,1764225347.155793,642.7159789449704,1764225347.5538821,643.1132769192867,1764225347.942168,654.5552104640285,1764225348.3696215
646.4914030007153,1764225348.8921509,642.7428399183567,1764225349.2283118,643.1241107107726,1764225349.636315,654.5605683461863,1764225350.0348268
646.4667345413659,1764225350.440774,642.7282438382948,1764225350.8782969,643.1374511916785,1764225351.250698,654.5833750978942,1764225351.666757
646.4817934432767,1764225352.0645773,642.7118551610397,1764225352.45714,643.1125680543515,1764225352.8312838,654.5474306439243,1764225353.185434
646.4818851360453,1764225353.581534,642.739912191893,1764225353.949983,643.1163616664928,1764225354.3232794,654.5100439445221,1764225354.7164147
646.4933733122981,1764225355.0802765,642.7433930305724,1764225355.5787017,643.1112238766317,1764225356.110514,654.5638192579725,1764225356.5616107
646.4809791908739,1764225356.9651203,642.7323746793658,1764225357.3491998,643.0896817017219,1764225357.7297478,654.5460021714179,1764225358.1399796
646.4889172572006,1764225358.5854666,642.7296461372009,1764225358.9706285,643.1222044911569,1764225359.363012,654.5427172390994,1764225359.7547653
646.4713820735678,1764225360.116228,642.7340275035833,1764225360.5037036,643.1353109851833,1764225360.8803036,654.5609935563948,1764225361.240314
646.4870739203503,1764225361.613059,642.7280087998371,1764225361.9599762,643.1153894820088,1764225362.3407142,654.5585330197692,1764225362.744068
646.4850808398193,1764225363.1296074,642.7541278438797,1764225363.5566618,643.129685785271,1764225363.95936,654.5915402552613,1764225364.4308493
646.4875048566156,1764225364.9027426,642.7441756191907,1764225365.3257937,643.1234157482568,1764225365.7271137,654.5353750311914,1764225366.144776
646.5063714055125,1764225366.5761433,642.7510474270325,1764225366.9543052,643.132324888707,1764225367.327417,654.5279112017549,1764225367.739603
646.5182279824834,1764225368.125203,642.7371882816764,1764225368.5216885,643.091536261005,1764225368.8444724,654.5656411820925,1764225369.2056227
646.4909072240924,1764225369.5813673,642.735013520739,1764225369.9256825,643.1271841282103,1764225370.2846153,654.5419338540844,1764225370.6888566
646.4946681776413,1764225371.0555162,642.7393484487172,1764225371.7538025,643.1170578536604,1764225372.2489846,654.5767112337479,1764225372.6910844
646.4582612595598,1764225373.030195,642.748310247436,1764225373.4394088,643.0642054898417,1764225373.8158612,654.4879580072698,1764225374.1550336
646.4763045196263,1764225374.5511987,642.7302781105307,1764225374.9190593,643.1063523255365,1764225375.2792304,654.5829988410089,1764225375.6391947
646.4917984703893,1764225375.9993222,642.7398098034483,1764225376.3704321,643.1320519276478,1764225376.7651002,654.5526767563026,1764225377.1243427
646.4840410855392,1764225377.5021608,642.7497339609354,1764225377.847107,643.1274964340695,1764225378.204557,654.5305384526664,1764225378.6009505
646.4922939346415,1764225378.97483,642.7378525776492,1764225379.4258704,643.1227864859559,1764225379.8394656,654.5164451786261,1764225380.1846035
646.459706219421,1764225380.547875,642.7455052288848,1764225380.9059062,643.1327176218122,1764225381.2638466,654.5476851670113,1764225381.6280746
646.4932729068054,1764225382.0293658,642.7400307706175,1764225382.4135926,643.1050968674086,1764225382.7486737,654.5703296282993,1764225383.1099374
646.4877950237653,1764225383.4887626,642.7336936220353,1764225383.853295,643.0976631615698,1764225384.1902137,654.553829049598,1764225384.549424
646.4939423069661,1764225384.910251,642.7371048254488,1764225385.2763693,643.1147085438758,1764225385.641689,654.5166455928095,1764225385.989609
646.4802804510803,1764225386.3711953,642.7299770464037,1764225386.756961,643.127954355187,1764225387.1131926,654.5562744128875,1764225387.4776063
646.480830047998,1764225387.8347597,642.7446270948,1764225388.1934772,643.1348789238723,1764225388.5545855,654.5575457767891,1764225388.9139333
646.4984479225703,1764225389.274114,642.7468507567457,1764225389.6349683,643.1214174315072,1764225389.995078,654.5345694239699,1764225390.3782747
646.4850324030457,1764225390.759719,642.7447660501186,1764225391.1236773,643.1094329289446,1764225391.5414114,654.5668716874388,1764225391.945371
646.4854319684206,1764225392.3429627,642.7103417614032,1764225392.6947203,643.1271885723742,1764225393.056073,654.5469020602067,1764225393.4219832
646.4751450905918,1764225393.7770646,642.7327680889538,1764225394.1354246,643.1143544541736,1764225394.5091162,654.5301350678703,1764225394.8542683
646.4878480245942,1764225395.2136693,642.7421423908355,1764225395.5735734,643.1170090243958,1764225395.9346201,654.5596012895576,1764225396.2951634
646.4888046929649,1764225396.6541383,642.7503824977001,1764225397.015448,643.1035996721246,1764225397.391756,654.5314358110478,1764225397.8236144
646.4895984623143,1764225398.261017,642.746081004013,1764225398.647257,643.1129130731864,1764225398.993168,654.5497240449242,1764225399.517353
646.5016763680688,1764225400.0345051,642.7575015464772,1764225400.4356039,643.1093477324049,1764225400.847136,654.6119809783469,1764225401.7154675
646.5175448863174,1764225402.1449788,642.7428745771318,1764225402.5334046,643.1061070813639,1764225402.945464,654.5208313765678,1764225403.3148353
646.4917774588481,1764225403.7197769,642.7352886763767,1764225404.0791833,643.0978173041699,1764225404.4874723,654.5667702617062,1764225404.8443162
646.4827813098959,1764225405.20444,642.7320594439306,1764225405.564654,643.1169944893571,1764225405.9248729,654.5319887861353,1764225406.284052
646.4899713237587,1764225406.645257,642.7406130640609,1764225407.0042026,643.1127910319694,1764225407.3740168,654.526421937579,1764225407.7699797
646.4736966026824,1764225408.1308098,642.7406320347566,1764225408.5138981,643.1270532297422,1764225408.8949788,654.5594319010793,1764225409.2542052
646.4842567734914,1764225409.6282778,642.7220945956581,1764225409.9747047,643.1187478926081,1764225410.3452804,654.5319598695793,1764225410.73882
646.473186213594,1764225411.122252,642.7497570594122,1764225411.5284867,643.1158109925497,1764225411.864341,654.5672734462988,1764225412.3558757
646.495361534269,1764225412.7640152,642.7495815603089,1764225413.1261792,643.1162585368303,1764225413.5253456,654.4793461575227,1764225413.84572
646.4898002477413,1764225414.2040033,642.7452548963062,1764225414.5815363,643.111132571403,1764225414.9270506,654.5299069960323,1764225415.2840521
646.4895717253046,1764225415.6772285,642.7550075585013,1764225416.0484686,643.0987390597031,1764225416.491406,654.4553398200246,1764225416.8148723
646.4914383521673,1764225417.1761396,642.7358600731502,1764225417.5402641,643.132336879079,1764225417.8943994,654.5439504070606,1764225418.2583404
646.4871599353847,1764225418.639449,642.7450878383742,1764225419.0266037,643.1418684132675,1764225419.428441,654.5265237975891,1764225419.8294492
646.4702148432625,1764225420.2336652,642.7492112927059,1764225420.726923,643.140274232162,1764225421.1786015,654.5381942815367,1764225421.5657084
646.488100027247,1764225422.0350645,642.7502580344051,1764225422.4158223,643.1003750446521,1764225422.799362,654.5357895545768,1764225423.160534
646.4771527796335,1764225423.5646746,642.7588259341775,1764225423.9238122,643.1210307154737,1764225424.2854824,654.5726327437889,1764225424.660254
646.5203702110623,1764225425.049668,642.7485624984938,1764225425.4392204,643.1286753207899,1764225425.8588889,654.5507393920788,1764225426.2209818
646.5040991294787,1764225426.6426044,642.7198508819284,1764225427.028599,643.1206232973275,1764225427.4008968,654.5806741309335,1764225427.8381836
646.4648763170436,1764225428.199115,642.7195440399172,1764225428.5622618,643.1066607316571,1764225428.9184299,654.5749277203032,1764225429.2786617
646.485224633815,1764225429.6739867,642.7381884466627,1764225430.0452204,643.1208507628639,1764225430.437842,654.5544322850097,1764225430.8996344
