# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T01:43:45.214613
# Cycle Start,3.524 s
# Cycle Stop,544.774 s
# Duration,541.250 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
111.9217,646.4854,30.3864,642.7103,-29.9473,643.1094,-12.2566,654.5669,24.5516
113.3558,646.4751,20.0996,642.7328,-7.5209,643.1272,5.4990,654.5469,4.5819
114.7924,646.4878,32.8025,642.7421,1.8534,643.1144,-7.3351,654.5301,-12.1851
116.2329,646.4888,33.7592,642.7504,10.0935,643.1170,-4.6805,654.5596,17.2812
117.8398,646.4896,34.5529,642.7461,5.7920,643.1036,-18.0899,654.5314,-10.8843
119.6132,646.5017,46.6308,642.7575,17.2125,643.1129,-8.7765,654.5497,7.4039
121.7237,646.5175,62.4994,642.7429,2.5856,643.1093,-12.3418,654.6120,69.6609
123.2985,646.4918,36.7319,642.7353,-5.0003,643.1061,-15.5824,654.5208,-21.4887
124.7832,646.4828,27.7358,642.7321,-8.2296,643.0978,-23.8722,654.5668,24.4501
126.2240,646.4900,34.9258,642.7406,0.3240,643.1170,-4.6950,654.5320,-10.3313
127.7095,646.4737,18.6511,642.7406,0.3430,643.1128,-8.8985,654.5264,-15.8982
129.2070,646.4843,29.2113,642.7221,-18.1944,643.1271,5.3637,654.5594,17.1118
130.7010,646.4732,18.1407,642.7498,9.4680,643.1187,-2.9416,654.5320,-10.3603
132.3428,646.4954,40.3160,642.7496,9.2925,643.1158,-5.8785,654.5673,24.9533
133.7827,646.4898,34.7547,642.7453,4.9659,643.1163,-5.4310,654.4793,-62.9740
135.2560,646.4896,34.5262,642.7550,14.7185,643.1111,-10.5570,654.5299,-12.4131
136.7549,646.4914,36.3928,642.7359,-4.4289,643.0987,-22.9505,654.4553,-86.9803
138.2182,646.4872,32.1144,642.7451,4.7988,643.1323,10.6474,654.5440,1.6303
139.8124,646.4702,15.1693,642.7492,8.9223,643.1419,20.1789,654.5265,-15.7963
141.6138,646.4881,33.0545,642.7503,9.9690,643.1403,18.5847,654.5382,-4.1258
143.1434,646.4772,22.1073,642.7588,18.5369,643.1004,-21.3145,654.5358,-6.5306
144.6284,646.5204,65.3247,642.7486,8.2735,643.1210,-0.6588,654.5726,30.3126
146.2213,646.5041,49.0536,642.7199,-20.4381,643.1287,6.9858,654.5507,8.4193
147.7779,646.4649,9.8308,642.7195,-20.7450,643.1206,-1.0662,654.5807,38.3540
149.2527,646.4852,30.1791,642.7382,-2.1006,643.1067,-15.0288,654.5749,32.6076
150.8408,646.4805,25.4380,642.7315,-8.7567,643.1209,-0.8388,654.5544,12.1122
152.2991,646.4927,37.6144,642.7245,-15.7473,643.1235,1.8525,654.5379,-4.4643
153.8119,646.5061,51.0934,642.7282,-12.0735,643.0875,-34.1854,654.5260,-16.2791
155.3369,646.4580,2.9148,642.7448,4.4671,643.0926,-29.0755,654.5683,25.9491
156.8234,646.4734,18.3730,642.7508,10.4885,643.0979,-23.7594,654.5973,54.9974
158.3970,646.4783,23.2967,642.7618,21.4796,643.1281,6.3964,654.5327,-9.5993
159.9278,646.4880,32.9519,642.7511,10.8330,643.1320,10.2672,654.5642,21.9286
161.5932,646.4745,19.4781,642.7814,41.1036,643.1329,11.2297,654.5633,20.9967
163.4086,646.4995,44.4702,642.7261,-14.1646,643.1258,4.0848,654.5676,25.3207
164.9233,646.4987,43.6963,642.7401,-0.1398,643.1171,-4.5619,654.5215,-20.7718
166.5427,646.4752,20.2039,642.7376,-2.7219,643.1095,-12.1686,654.5769,34.5513
168.0028,646.5113,56.2433,642.7287,-11.5854,643.1432,21.5128,654.5582,15.8503
169.6021,646.5146,59.5163,642.7367,-3.6372,643.1091,-12.6041,654.5644,22.1250
171.1681,646.5184,63.3551,642.7432,2.9331,643.1168,-4.8472,654.5749,32.5695
172.7738,646.4996,44.5193,642.7474,7.1230,643.1280,6.2971,654.5627,20.4009
174.2778,646.4873,32.2655,642.7463,6.0003,643.1360,14.3236,654.5665,24.1557
175.8125,646.4782,23.1398,642.7393,-0.9955,643.1133,-8.4081,654.5515,9.1647
177.3163,646.5104,55.3143,642.7215,-18.7393,643.1032,-18.4610,654.5837,41.4150
178.8729,646.5163,61.2865,642.7407,0.4072,643.1061,-15.6174,654.5428,0.5114
180.6697,646.4699,14.8257,642.7214,-18.9040,643.1337,12.0006,654.5413,-1.0445
183.4940,646.4941,39.0646,642.7485,8.1915,643.1201,-1.5602,654.5819,39.5733
186.4606,646.5185,63.4735,642.7284,-11.8806,643.1369,15.1806,654.5741,31.7595
188.2931,646.4666,11.5631,642.7398,-0.4864,643.1219,0.2474,654.5194,-22.9662
189.8116,646.4774,22.3130,642.7403,0.0009,643.1165,-5.1995,654.5400,-2.3270
191.2781,646.4827,27.6170,642.7576,17.2822,643.1087,-13.0209,654.5691,26.8250
192.8673,646.4717,16.6056,642.7352,-5.1212,643.1166,-5.0815,654.5771,34.7395
194.4426,646.4851,30.0189,642.7273,-12.9446,643.1053,-16.3547,654.5535,11.1306
195.9277,646.4818,26.7646,642.7288,-11.4822,643.1073,-14.4200,654.5597,17.3843
197.5027,646.5107,55.6507,642.7400,-0.2786,643.0952,-26.4898,654.5700,27.7186
198.9534,646.5052,50.1045,642.7326,-7.7170,643.1344,12.7593,654.5617,19.4108
