window_length,polyorder,peak_to_peak_pm,std_pm,mean_nm
51,2,29.053615059979165,8.049518072817696,646.488147794968
51,3,31.55744780326586,8.115833301379556,646.4882162086609
51,4,30.70238473185327,9.171570273132891,646.4881963170448
51,5,32.27055776937959,9.212986887233733,646.4881790440717
71,2,34.90209171513925,7.4913020364579666,646.487818218252
71,3,35.7856186369645,8.036065152905628,646.4884633911972
71,4,29.698041329879743,8.38829215254283,646.488199336712
71,5,30.667527352534307,8.392491456893548,646.4881764721387
101,2,28.39921399436207,7.058524243157357,646.4881467989629
101,3,28.53860149900811,7.026755307485057,646.4882169556079
101,4,33.69795887761029,7.6995263590795675,646.4882722008422
101,5,35.021919442442595,8.165040840163075,646.488116324537
121,2,22.86626091222388,6.887993623559041,646.4882835123965
121,3,32.391067667390416,6.874090295963345,646.4881144204794
121,4,29.325758359277643,7.376823629661257,646.4883074113651
121,5,33.89903991217125,7.766116759620975,646.4880859766434
141,2,27.303921558200273,6.891641485180678,646.4885648331924
141,3,27.535595301287685,6.984170269040769,646.4879034300044
141,4,33.38531879569473,7.11079721216164,646.4884298723359
141,5,34.82892145461847,7.549589761188317,646.4879845587668
161,2,25.258869679873897,6.75746752790116,646.4882724894413
161,3,27.65397976497752,6.765361272606978,646.488122687865
161,4,29.53008514805333,7.017281062548865,646.4884504676885
161,5,32.55688933074907,7.105723646210092,646.4879673449752
181,2,22.625418699931288,6.665077272521222,646.4881393555146
181,3,28.706943260885964,6.755692791382628,646.488222538253
181,4,27.801723765378483,6.861351885025906,646.4882305203486
181,5,29.177514516504743,6.822106878842412,646.4881505649789
