name,points,peak_to_peak_pm,std_pm,mean_nm
Raw (No Batching),182,169.24742253786462,17.469455081312574,646.4908385430872
Batch Mean (n=3),60,55.249891845051025,10.299278209648273,646.4908246039216
Batch Median (n=3),60,62.14937334414117,8.284654500754623,646.4913242094703
Batch Linear Fit (n=3),60,55.24989184550577,10.299278209673497,646.4908246039216
"Post-Savgol (w=5, p=2)",182,114.92270662483861,13.271915994285294,646.4908392943883
"Post-Savgol (w=7, p=2)",182,85.63233776305879,11.101040739345535,646.4908107266177
"Post-Savgol (w=9, p=2)",182,65.41568378747797,9.958393386099644,646.4907773408073
"Post-Savgol (w=11, p=2)",182,55.08933678345329,9.040007752660662,646.4908112707576
