window_length,polyorder,peak_to_peak_pm,std_pm,mean_nm
51,2,23.912874240295423,5.354630907379451,646.4907677106943
51,3,27.227073849530825,5.45915684260688,646.4908916673656
51,4,29.97142529238772,6.4429834526191545,646.4907789947029
51,5,33.44302947709821,6.662614927537959,646.490888179404
71,2,28.15269253369479,5.206193367256219,646.4906937231252
71,3,26.149673554641595,5.322291356383174,646.4909471580419
71,4,24.111492525889844,5.67951691228117,646.4907948097675
71,5,25.709044683821958,5.776492822819824,646.4908749446397
101,2,22.1250848701402,4.919566046194162,646.4907903067977
101,3,24.989910512658753,4.987495246179863,646.4908747202311
101,4,26.066786933483854,5.196826586363666,646.490908058157
101,5,26.561930843286063,5.6932136874518084,646.4907811434913
121,2,15.943146637027894,4.758461398508573,646.4907664297992
121,3,27.864290485695165,4.9570034352407255,646.490892627927
121,4,24.61633181258094,5.118057322209975,646.4908878721434
121,5,24.659132783767745,5.207011788803289,646.4907969593738
141,2,19.26236078202237,4.844548724172901,646.490850637779
141,3,20.619448511411065,4.853200585611454,646.490829472064
141,4,28.959314026906213,5.077668564738735,646.4908916060308
141,5,25.09379580112636,5.01392028959939,646.4907944807356
161,2,18.2807136543488,4.732260538004048,646.4907809360053
161,3,20.921817345083582,4.883902834092752,646.4908817484417
161,4,24.626899398754176,4.950587221305908,646.4909547795592
161,5,28.40643265028575,5.0083915324914905,646.4907417851307
181,2,15.421062015661846,4.61172923921011,646.4908395372195
181,3,23.14358706769326,4.887692098018763,646.4908377974742
181,4,21.887730027287944,4.87953123540121,646.4908358958428
181,5,27.142436636040657,4.934328353112841,646.490840785448
