Pipeline,Peak_to_Peak_nm,Peak_to_Peak_pm,Std_Dev_nm,Std_Dev_pm,Mean_nm,Valid_Points
Fourier + Batch Smoothing,0.052190503627798535,52.190503627798535,0.00920925298227815,9.20925298227815,646.4899940507454,182
Batch Savitzky-Golay (INTERNAL BATCHING),0.10731979215086085,107.31979215086085,0.014066671723982408,14.066671723982408,646.4897258467267,180
Direct ArgMin + Batch Smoothing,0.051950608572497003,51.950608572497,0.012087207122194169,12.087207122194169,646.4881273275968,182
Adaptive Multi-Feature + Batch Smoothing,0.051187378430540775,51.187378430540775,0.009321583023839102,9.321583023839102,646.4896492811473,182
