# AffiLabs Cycle Autosave
# Timestamp,2025-12-14T18:31:42Z
# Cycle Start,212.720 s
# Cycle Stop,287.581 s
# Duration,74.861 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
213.7331,650.3632,0.0000,653.0124,0.0000,650.8225,0.0000,621.1946,0.0000
214.7553,650.3803,6.0540,652.9919,-7.2820,650.8427,7.1728,621.3312,48.5181
215.7161,650.3486,-5.2068,652.9914,-7.4588,650.8141,-2.9958,621.0284,-58.9741
216.7377,650.3411,-7.8761,652.9997,-4.5047,650.8404,6.3377,621.3781,65.1702
217.7591,650.3577,-1.9766,652.9960,-5.8193,650.8128,-3.4680,620.5525,-227.9263
218.7816,650.3286,-12.2971,652.9776,-12.3722,650.8335,3.9091,622.6979,533.6690
219.7419,650.3226,-14.4152,652.9875,-8.8630,650.8252,0.9567,620.8730,-114.1526
220.7644,650.3460,-6.1217,652.9906,-7.7355,650.8336,3.9403,620.7961,-141.4609
221.7860,650.3379,-8.9874,652.9941,-6.5042,650.8257,1.1168,622.3298,403.0107
222.8065,650.3371,-9.2735,652.9825,-10.6069,650.8237,0.4119,621.0383,-55.4858
224.7894,650.3291,-12.1312,652.9909,-7.6385,650.8415,6.7346,620.4937,-248.8136
225.8177,650.3324,-10.9596,652.9814,-11.0202,650.8252,0.9586,626.6930,1951.9450
226.8329,650.3330,-10.7196,652.9898,-8.0491,650.8285,2.1114,621.0586,-48.2690
227.8542,650.3400,-8.2501,652.9934,-6.7546,650.8268,1.5241,626.2025,1777.8157
228.8764,650.3361,-9.6337,652.9912,-7.5454,650.8267,1.4859,620.8325,-128.5184
229.8377,650.3093,-19.1557,652.9641,-17.1515,650.8242,0.5936,620.5030,-245.5205
230.8593,650.3267,-12.9846,652.9792,-11.7947,650.8209,-0.5770,620.4810,-253.3143
231.8802,650.3175,-16.2458,652.9670,-16.1318,650.8352,4.4922,621.2867,32.7239
232.9023,650.3091,-19.2187,652.9967,-5.5805,650.8377,5.3909,621.5110,112.3235
233.8627,650.3122,-18.1286,652.9690,-15.4288,650.8266,1.4615,620.6275,-201.3173
235.9060,650.3133,-17.7301,652.9932,-6.8289,650.8407,6.4511,621.0646,-46.1280
236.9272,650.3264,-13.0733,652.9925,-7.0630,650.8355,4.6205,620.6807,-182.4222
237.8932,650.3087,-19.3578,652.9786,-12.0063,650.8341,4.1158,620.4926,-249.2016
238.9103,650.3104,-18.7582,652.9650,-16.8417,650.8118,-3.8206,620.1415,-373.8430
239.9325,650.3273,-12.7768,652.9628,-17.6238,650.8349,4.3852,621.0250,-60.1894
240.9536,650.3090,-19.2678,652.9763,-12.8188,650.8410,6.5578,621.0303,-58.3332
242.9360,650.3098,-18.9736,652.9651,-16.7896,650.8332,3.7777,627.8365,2357.9022
243.9588,650.3052,-20.5939,652.9649,-16.8712,650.8212,-0.4865,620.6136,-206.2376
