# AffiLabs Cycle Autosave
# Timestamp,2025-12-13T22:54:35Z
# Cycle Start,3.841 s
# Cycle Stop,246.863 s
# Duration,243.022 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
4.4861,652.1683,0.0000,652.4820,0.0000,652.4003,0.0000,658.3747,0.0000
5.6735,652.1695,0.4539,652.4905,3.0148,652.4161,5.5931,658.3785,1.3677
6.9913,652.1932,8.8508,652.4774,-1.6394,652.4330,11.5890,652.1402,-2213.2279
8.0733,652.1741,2.0711,652.4860,1.4089,652.4128,4.4234,658.3805,2.0571
9.2677,652.1661,-0.7799,652.4750,-2.4967,652.4076,2.5873,658.3738,-0.3280
10.4585,652.1696,0.4865,652.4710,-3.8915,652.4071,2.4109,658.3679,-2.3924
11.6498,652.1617,-2.3330,652.4864,1.5435,652.4120,4.1233,658.3714,-1.1774
12.9579,652.1709,0.9462,652.4769,-1.8119,652.4091,3.1086,653.2150,-1831.6875
14.0992,652.1688,0.1738,652.4731,-3.1611,652.4157,5.4424,658.3630,-4.1530
15.2866,652.1688,0.1880,652.4772,-1.6959,652.4178,6.1899,658.3586,-5.7110
16.4819,652.1725,1.5103,652.4838,0.6490,652.4147,5.0962,658.3455,-10.3545
17.6818,652.1645,-1.3220,652.4726,-3.3252,652.4064,2.1399,658.3648,-3.5061
18.8798,652.1659,-0.8224,652.4705,-4.0950,652.4057,1.8936,658.3579,-5.9436
20.0560,652.1602,-2.8775,652.4635,-6.5773,652.4050,1.6508,658.3501,-8.7207
21.2588,652.1682,-0.0184,652.4698,-4.3499,652.4076,2.5812,658.3586,-5.6998
22.4579,652.1600,-2.9323,652.4701,-4.2262,658.8756,2298.7101,657.9162,-162.7715
23.6525,652.1665,-0.6361,652.4635,-6.5609,652.4090,3.0717,658.3379,-13.0685
25.1287,652.5606,139.2848,652.3437,-49.1067,652.4054,1.7832,658.3460,-10.1820
26.0998,652.1714,1.1184,652.4651,-6.0036,652.4009,0.2139,658.3476,-9.6216
27.2762,652.1588,-3.3763,652.4792,-0.9822,652.4084,2.8588,658.3438,-10.9581
28.4792,652.1716,1.1879,652.4662,-5.6047,652.4008,0.1463,658.3575,-6.0882
29.6791,652.1556,-4.4807,652.4626,-6.8825,652.4015,0.4073,658.3386,-12.8193
30.8810,652.1600,-2.9342,652.4698,-4.3201,652.4064,2.1515,658.3589,-5.5883
32.0665,652.1716,1.2005,652.4677,-5.0742,652.4143,4.9431,658.3587,-5.6631
33.2582,652.1706,0.8151,652.4791,-1.0371,652.4029,0.8950,658.3406,-12.0964
34.4501,652.1688,0.1743,652.4659,-5.7290,652.4068,2.2819,658.3361,-13.6905
35.6987,652.1639,-1.5382,652.4582,-8.4372,653.1121,252.6858,658.3139,-21.5918
36.8987,652.1649,-1.2090,652.4672,-5.2459,652.4010,0.2220,658.3454,-10.3856
38.0912,652.1652,-1.0793,652.4597,-7.9206,652.4122,4.2217,658.3493,-9.0242
39.2881,652.1643,-1.4069,652.4518,-10.7235,652.3963,-1.4189,658.3384,-12.8715
40.4694,652.1711,1.0042,652.4569,-8.9201,652.4035,1.1323,658.3488,-9.2025
41.6687,652.1641,-1.4836,652.4494,-11.5674,652.4020,0.5932,658.3423,-11.4830
42.8697,652.1577,-3.7506,652.4531,-10.2622,652.4121,4.1865,658.3423,-11.4854
44.0606,652.1712,1.0510,652.4520,-10.6374,652.3934,-2.4605,658.3367,-13.4988
45.2543,652.1583,-3.5360,652.4253,-20.1437,652.4009,0.2056,658.3469,-9.8549
46.5537,652.1675,-0.2840,652.4417,-14.3009,652.4005,0.0528,653.0743,-1881.6223
47.6880,652.1576,-3.7985,652.4493,-11.5960,652.3994,-0.3305,658.3370,-13.3680
48.8964,652.2829,40.7099,651.7821,-248.4774,652.4059,1.9888,658.3767,0.7257
50.0766,652.2950,44.9926,655.2856,995.2604,652.4286,10.0258,658.4117,13.1389
51.2793,652.3707,71.8715,655.2414,979.5855,654.2589,659.7707,660.1064,614.7467
52.4703,652.9064,262.0459,655.3906,1032.5384,654.1099,606.8891,660.4266,728.4245
53.6653,652.8917,256.8028,655.4007,1036.1336,654.1108,607.2011,660.3551,703.0487
54.8645,652.8868,255.0822,655.3857,1030.8132,654.1269,612.9151,660.3417,698.2876
56.0536,652.9027,260.7319,655.3824,1029.6327,654.1231,611.5633,660.3340,695.5749
57.3098,652.9028,260.7514,655.3874,1031.4116,654.1264,612.7509,660.3271,693.0990
58.4475,652.9126,264.2475,655.3836,1030.0694,654.1343,615.5391,660.3361,696.2927
59.6933,652.9133,264.4830,655.3892,1032.0441,654.1317,614.6286,660.3262,692.7796
60.8926,652.9175,265.9747,655.3851,1030.6097,654.1327,615.0021,660.3401,697.7104
62.0785,652.9124,264.1716,655.3802,1028.8600,654.1351,615.8279,660.3308,694.4201
63.2791,652.9135,264.5429,654.0715,564.2556,654.1354,615.9609,660.3341,695.5951
64.4708,652.9268,269.2948,655.3851,1030.6063,654.1393,617.3197,660.3436,698.9784
65.6624,652.9149,265.0408,655.3856,1030.7863,654.1430,618.6286,660.3322,694.9299
66.8633,652.9131,264.4328,655.3799,1028.7700,654.1388,617.1388,660.3252,692.4339
68.0466,652.9201,266.9168,655.3920,1033.0552,660.7310,2957.3876,659.7870,501.3642
69.2471,652.9130,264.3766,655.3878,1031.5505,654.1328,615.0371,660.3261,692.7667
70.5020,652.9257,268.8860,655.3796,1028.6450,654.1417,618.1946,660.3230,691.6503
71.6959,652.9403,274.0616,655.3806,1029.0053,654.1418,618.2045,660.3140,688.4595
72.8802,652.9258,268.9282,655.3792,1028.4871,654.1345,615.6169,660.3051,685.2833
74.1323,652.9349,272.1595,655.3831,1029.8745,654.1368,616.4587,660.3177,689.7849
75.2739,652.9316,270.9940,655.3899,1032.2980,654.1437,618.9037,658.4829,38.4192
76.4620,652.9275,269.5356,655.3908,1032.6064,654.1361,616.1829,660.3271,693.1003
77.6649,652.9217,267.4837,655.3876,1031.4688,654.1372,616.5684,660.3202,690.6416
78.8550,652.9202,266.9208,655.3802,1028.8623,654.1396,617.4198,660.3292,693.8512
80.1015,652.9239,268.2582,655.3778,1028.0190,654.1374,616.6705,660.3052,685.3228
81.3026,652.9272,269.4118,655.3783,1028.1984,654.1372,616.5751,660.3250,692.3551
