# AffiLabs Cycle Autosave
# Timestamp,2025-11-27T00:02:26.764861
# Cycle Start,60.109 s
# Cycle Stop,159.346 s
# Duration,99.237 s
# Filter Enabled,False
# Reference Subtraction,False

Time (s),Ch A Wavelength (nm),Ch A SPR (RU),Ch B Wavelength (nm),Ch B SPR (RU),Ch C Wavelength (nm),Ch C SPR (RU),Ch D Wavelength (nm),Ch D SPR (RU)
60.2607,645.5670,0.0000,642.3347,0.0000,642.6590,0.0000,653.3187,0.0000
61.1995,645.6040,37.0761,642.3811,46.3534,642.6378,-21.1579,653.3365,17.7816
62.0996,645.6548,87.8148,642.3312,-3.5069,642.6456,-13.3659,653.0400,-278.6564
62.9545,645.6480,81.0861,642.3178,-16.8815,642.6281,-30.8433,653.3089,-9.7978
63.8550,645.6022,35.2702,642.3227,-12.0539,642.6514,-7.5573,653.3461,27.4070
64.7551,645.5928,25.8899,642.3450,10.3295,642.6370,-21.9477,653.3718,53.0674
65.6549,645.5433,-23.6546,642.2433,-91.4481,642.6335,-25.4610,653.2849,-33.8062
66.5097,645.5492,-17.8032,642.2681,-66.6664,642.6604,1.4883,653.0628,-255.8390
67.3236,645.5995,32.5645,642.3409,6.1948,642.6325,-26.4580,653.0966,-222.1120
68.1754,645.6377,70.7834,642.3526,17.8938,642.6286,-30.3313,653.2898,-28.8802
69.0751,645.5824,15.4865,642.3447,10.0084,642.6256,-33.3661,653.3320,13.3277
69.9752,645.6080,41.0295,642.2642,-70.5464,642.6226,-36.3864,653.3154,-3.2970
70.8296,645.6154,48.4760,642.3381,3.3675,642.5165,-142.4478,653.3166,-2.1325
71.6406,645.6434,76.4159,642.3061,-28.6316,642.5622,-96.7237,653.0994,-219.3296
72.4509,645.5487,-18.2771,642.3379,3.1927,642.6404,-18.5437,653.3575,38.8536
73.3678,645.6380,71.0087,642.3020,-32.6937,642.6545,-4.4059,653.3760,57.3471
74.2495,645.6065,39.5238,642.3544,19.7033,642.6227,-36.2474,653.3869,68.1927
75.1503,645.5901,23.1904,642.2995,-35.2553,642.5364,-122.5197,653.3513,32.5641
76.0042,645.6292,62.2682,642.2469,-87.7855,642.6179,-41.0189,653.0558,-262.9128
76.8158,645.6073,40.3842,642.3557,20.9676,642.5377,-121.2915,653.0113,-307.3948
77.6244,645.5288,-38.1557,642.2767,-57.9954,642.5816,-77.3786,653.3254,6.7327
78.4425,645.6238,56.8519,642.3699,35.1582,642.6166,-42.3644,653.3817,63.0244
79.6500,645.5946,27.5936,642.3273,-7.4396,642.6060,-52.9112,653.0658,-252.9149
80.5056,645.4388,-128.1412,642.3080,-26.7257,642.6531,-5.8497,653.3276,8.9263
81.3766,645.5568,-10.1836,642.3319,-2.8228,642.6334,-25.5693,653.0689,-249.8012
82.2140,645.5769,9.9320,642.3612,26.4387,642.6024,-56.5406,653.3310,12.2923
83.0710,645.5863,19.3857,642.2585,-76.1783,642.5591,-99.8976,653.3407,21.9956
83.8794,645.6164,49.4275,642.3578,23.0498,642.6328,-26.1333,652.9244,-394.2532
84.7342,645.5996,32.6423,642.2710,-63.6747,642.6491,-9.8137,653.3417,22.9865
85.5889,645.5516,-15.3330,642.2808,-53.9566,642.6546,-4.3233,653.3304,11.7303
86.4448,645.6252,58.2398,642.3492,14.4733,642.6409,-18.0858,653.2932,-25.5150
87.3491,645.5700,3.0578,642.3112,-23.5187,642.6024,-56.5764,653.3559,37.2469
88.2465,645.5954,28.4468,642.3219,-12.8369,642.6383,-20.6116,653.3202,1.5245
89.1455,645.6235,56.4922,642.2991,-35.6172,642.6574,-1.5450,653.3248,6.1264
90.0900,645.6267,59.7711,642.3567,21.9921,642.5880,-70.9215,653.2745,-44.1798
91.0348,645.6003,33.3904,642.2994,-35.3614,642.6241,-34.8176,653.2841,-34.6244
91.9348,645.5597,-7.2352,642.3130,-21.7052,642.6107,-48.2895,653.3518,33.1087
92.8535,645.5879,20.9643,642.3402,5.4799,642.6323,-26.6977,653.2875,-31.1625
93.7342,645.6046,37.6826,642.3334,-1.2939,642.6217,-37.2799,653.3963,77.5777
94.6352,645.5956,28.6276,642.3152,-19.4981,642.5829,-76.0665,653.3674,48.7588
95.4900,645.6236,56.6339,642.3346,-0.1423,642.6181,-40.8680,653.2979,-20.7464
96.4107,645.5700,2.9998,642.2968,-37.9024,642.6239,-35.0219,653.3218,3.0855
97.2895,645.5625,-4.4718,642.2542,-80.4973,642.5919,-67.1022,653.0530,-265.6655
98.1003,645.6069,39.9463,642.3213,-13.4149,642.6081,-50.8856,653.0685,-250.1904
98.9552,645.6298,62.8528,642.3506,15.9238,642.6477,-11.2161,653.3571,38.3809
99.8549,645.6033,36.3594,642.3515,16.8147,642.6332,-25.7687,653.2674,-51.2465
100.7547,645.6146,47.6696,642.3389,4.2111,642.6196,-39.3639,653.3229,4.2600
101.6545,645.5590,-7.9661,642.3373,2.5438,642.6251,-33.8901,653.3704,51.6694
102.6005,645.5790,12.0851,642.3251,-9.6467,642.6452,-13.7055,653.0533,-265.4211
103.4546,645.6338,66.8832,642.3433,8.5533,642.5656,-93.3858,653.3557,37.0579
104.3091,645.6679,100.8926,642.2924,-42.3377,642.6012,-57.7090,653.0855,-233.2301
105.1198,645.6169,49.9083,642.3557,21.0266,642.6384,-20.5224,653.3186,-0.0593
106.0198,645.6430,76.0853,642.3121,-22.6140,642.6224,-36.5565,653.3492,30.5071
106.9646,645.6148,47.8422,642.3368,2.0964,642.6463,-12.6205,653.3792,60.4957
107.8747,645.5985,31.5542,642.3221,-12.6185,642.6106,-48.3212,653.0078,-310.8892
108.8773,645.6046,37.6304,642.3355,0.8206,642.6166,-42.3959,653.3546,35.9107
109.9173,645.5628,-4.1892,642.3441,9.4298,642.5677,-91.2082,653.3168,-1.8502
110.7890,645.5722,5.2201,642.2401,-94.5824,642.5245,-134.4679,653.3547,35.9722
111.5999,645.5644,-2.5484,642.3348,0.1239,642.6484,-10.5461,653.3558,37.1353
112.4994,645.6072,40.2711,642.3222,-12.4954,642.5962,-62.7284,653.3572,38.5591
113.3655,645.6106,43.6843,642.3168,-17.9086,642.6038,-55.1811,653.2948,-23.8849
114.2540,645.6090,42.0813,642.3438,9.1046,645.0353,2376.3455,656.3559,3037.2169
115.2001,647.6494,2082.3908,645.4103,3075.5981,645.0691,2410.1629,656.3120,2993.3247
116.1451,647.6151,2048.1321,645.4082,3073.5020,645.0251,2366.1135,656.2728,2954.0958
117.0443,647.7180,2151.0066,645.3398,3005.0558,645.0739,2414.9377,656.1818,2863.1211
117.9440,647.6973,2130.3775,645.3844,3049.6713,645.0923,2433.3674,656.2542,2935.5100
118.8900,647.5265,1959.4969,645.3685,3033.7728,645.0209,2361.9395,656.4426,3123.9426
119.8339,647.6041,2037.1542,645.2970,2962.2377,644.9414,2282.4257,656.5832,3264.5555
120.7788,647.5910,2024.0169,645.3699,3035.2014,645.0402,2381.2189,656.1565,2837.8234
121.7250,647.5138,1946.8292,645.2979,2963.1756,644.9507,2291.7053,656.2457,2926.9958
122.6242,647.8953,2328.3437,645.4252,3090.4682,645.0821,2423.1795,656.3385,3019.8610
123.9882,648.0869,2519.9251,645.5618,3227.1219,645.0727,2413.7055,656.3695,3050.7873
124.9191,647.6574,2090.4692,645.3652,3030.5100,645.0562,2397.2493,656.1999,2881.2296
126.3696,647.8693,2302.3872,645.4152,3080.4723,644.9452,2286.2863,656.4020,3083.3167
