channel_a,timestamp_a,channel_b,timestamp_b,channel_c,timestamp_c,channel_d,timestamp_d
645.6437435597111,1764214240.224309,642.617916199488,1764214240.4679506,642.9729204360644,1764214240.6746354,653.3909849842039,1764214240.8998315
645.6253053335453,1764214241.1253026,642.5573097188887,1764214241.3036726,642.9414139859957,1764214241.5293398,653.3408975931816,1764214241.7554324
645.6393879327002,1764214241.9807868,642.5173745441706,1764214242.1604722,642.9921355043585,1764214242.4002824,653.3381759852423,1764214242.611921
645.6358397355642,1764214242.8349113,642.5366728195877,1764214243.0141835,642.9902672310928,1764214243.2399127,653.0669410799002,1764214243.4277368
645.5447039981357,1764214243.6463196,642.5635726184541,1764214243.869974,642.8868388391919,1764214244.0496352,653.1570046898523,1764214244.2293797
645.6226376515763,1764214244.4540744,642.5276421742783,1764214244.6347344,642.903939732258,1764214244.8758888,653.3388306294613,1764214245.1095493
645.6807615691736,1764214245.3700933,642.5946982180194,1764214245.6432498,642.99352630254,1764214245.9198093,653.3868689710924,1764214246.1695888
645.6092188553622,1764214246.4183576,642.5655054738894,1764214246.671846,642.9879392804213,1764214246.9503102,653.4051046008914,1764214247.2096457
645.6170181155431,1764214247.4393318,642.6122423075186,1764214247.6490474,642.9507253983157,1764214247.8740764,653.3893040611462,1764214248.0996559
645.6123506846901,1764214248.3272548,642.6017829831533,1764214248.549208,642.9460643709247,1764214248.7748156,653.3544370351963,1764214248.9996238
645.6168625440503,1764214249.2250874,642.5045088934202,1764214249.41091,642.9376784516345,1764214249.6294158,653.333098814275,1764214249.8543108
645.6431522301646,1764214250.0791688,642.5175108788314,1764214250.259245,642.9623039112886,1764214250.4844508,654.883054806671,1764214250.7110014
646.2708794909364,1764214250.934933,643.8527478998476,1764214251.1152072,643.5349847894267,1764214251.3452573,654.9681459590427,1764214251.5650246
646.2318191493935,1764214251.7896814,644.5955743231186,1764214252.015357,644.2922291401088,1764214252.2398117,654.8662534644812,1764214252.4645169
646.1421177506878,1764214252.689166,643.7012149230425,1764214252.9140067,643.5198642746534,1764214253.1386232,655.5645771035713,1764214253.3229296
646.9928626907113,1764214253.5441716,644.2641606197657,1764214253.7245193,643.3442866292502,1764214253.950646,653.6116844412074,1764214254.1740112
647.4494535554475,1764214254.4028614,643.8944177486769,1764214254.5793853,643.8869987158273,1764214254.804281,654.2299123684487,1764214254.9859262
646.3789196081584,1764214255.2092762,643.4850949255599,1764214255.3981197,643.3176194732775,1764214255.6159203,655.9060211015174,1764214255.7945595
646.5258700173684,1764214256.0189157,643.7748021600405,1764214256.2007895,643.9112008415661,1764214256.4241846,653.5801369868897,1764214256.6063387
646.2160763161125,1764214256.8296137,644.0990651413949,1764214257.0106585,643.5362242245458,1764214257.2350707,654.9245073652173,1764214257.4587593
646.2030868720938,1764214257.6846526,643.6084992388971,1764214257.8641372,644.0333516482451,1764214258.044836,654.0130473481574,1764214258.2692876
646.6605771550883,1764214258.495241,643.4432563122793,1764214258.718651,643.545197762948,1764214258.9446673,654.8766487295238,1764214259.1704693
646.090567556939,1764214259.4069176,643.9087897043685,1764214259.6198537,643.945953576122,1764214259.8446388,653.8755604428966,1764214260.0691442
646.3542773991846,1764214260.2949471,643.8073956777137,1764214260.5194461,644.6036171715225,1764214260.7443073,655.7299091319603,1764214260.9689996
646.1008183606275,1764214261.193929,645.651687924112,1764214261.438387,645.3682936781729,1764214261.6891267,656.3390828227554,1764214261.915034
647.7670835801661,1764214262.1385355,645.8274568098085,1764214262.3870661,645.6021247008723,1764214262.646752,656.1602955293368,1764214262.9504993
647.486105847279,1764214263.219159,645.7222953196381,1764214263.4631736,645.331136260686,1764214263.7285912,656.2567716705736,1764214263.984895
647.572308324536,1764214264.2543738,645.6001450494929,1764214264.4790492,645.3264404501534,1764214264.703848,656.345163403708,1764214264.9284835
647.5798047077285,1764214265.1544142,645.6623525808326,1764214265.401469,645.3761126962996,1764214265.6488657,656.3500883103738,1764214265.8759506
647.5550672318191,1764214266.1455412,645.6823833386132,1764214266.3746638,645.3469191906258,1764214266.639378,656.1132296076039,1764214266.8640485
647.6840490696303,1764214267.0893133,645.7152880370206,1764214267.3144195,645.4197030974773,1764214267.6291487,656.2457910765427,1764214267.854058
647.7822370480386,1764214268.080922,645.6543395386468,1764214268.3044853,645.4402036414024,1764214268.553173,656.3433929239857,1764214268.7998238
647.6280425379381,1764214269.025812,645.5847278449743,1764214269.2492564,645.3368960516563,1764214269.4861443,656.6537084567298,1764214269.6989355
647.7209936358246,1764214269.924665,645.7626175361312,1764214270.1501741,645.3424766783862,1764214270.3783278,656.1707840378732,1764214270.6908357
647.8625032782166,1764214270.9137845,645.732708151386,1764214271.1393564,645.3576682620546,1764214271.422679,656.3293876808182,1764214271.6970327
647.616423778303,1764214272.300261,645.573090468807,1764214272.8803337,645.2843406892073,1764214273.2620854,656.2966839266828,1764214273.5251787
647.7839488726336,1764214273.7498498,645.5709666942953,1764214273.9741724,645.3133116831339,1764214274.1993716,656.1970517331205,1764214274.4523954
647.569229219834,1764214274.6938465,645.6517671892768,1764214274.9195836,645.2417589719871,1764214275.1451836,656.2947882393407,1764214275.3688822
647.4886775028567,1764214275.6838346,645.624356836242,1764214275.909603,645.359920234944,1764214276.134136,656.4016637040373,1764214276.3602643
647.994981167847,1764214276.6739538,645.6195683084741,1764214276.8989704,645.3253344919035,1764214277.1458344,656.2559376626202,1764214277.4167228
647.9687589214855,1764214277.665264,645.7884274579969,1764214277.889907,645.3802367920621,1764214278.1149857,656.3704753693388,1764214278.339123
647.6840889466934,1764214278.6652474,645.6750693590499,1764214278.8791106,645.3224868878928,1764214279.1049652,656.6403537065952,1764214279.3284318
647.4771017906979,1764214279.5992897,645.8018938142958,1764214279.8239303,645.3531698832842,1764214280.0488148,656.3332798397862,1764214280.2742858
647.5963029553495,1764214280.545255,645.7738464354195,1764214280.7688031,645.2712449609083,1764214281.039097,656.2758540104678,1764214281.3099973
647.5884420523548,1764214281.5594893,645.6302759149571,1764214281.8042386,645.4244197662539,1764214282.030367,656.2920877461153,1764214282.2547362
647.5531832954834,1764214282.4968722,645.6387717965829,1764214282.7493448,643.5545559342745,1764214282.9958415,654.3530879708119,1764214283.2116342
646.4998514739789,1764214283.4450274,643.958032424618,1764214283.650485,643.7230079749618,1764214283.8740604,655.1121888663967,1764214284.0545044
646.7141189464508,1764214284.279103,643.4998419166371,1764214284.5149133,643.9727463747872,1764214284.7300158,654.1745029967923,1764214284.9544
646.204564734493,1764214285.179125,643.3604512111194,1764214285.41849,643.3155546613415,1764214285.6747105,654.8117344798859,1764214285.8995802
646.268693832323,1764214286.1244211,643.6825542103629,1764214286.3037934,643.7660138973266,1764214286.5034285,654.0817256700485,1764214286.7093277
646.5846780932474,1764214286.9350753,643.4595099495141,1764214287.1155188,644.1148058219801,1764214287.3389952,653.8325338710706,1764214287.564768
646.4106600410627,1764214287.7895658,643.6933600348892,1764214288.014422,643.8362844758202,1764214288.1938643,654.011659514306,1764214288.3743348
646.4167508704395,1764214288.5989494,643.5611343826615,1764214288.7796578,644.0895290866406,1764214289.0046551,654.8112326562687,1764214289.2292106
646.7387197374394,1764214289.46984,644.0708878991287,1764214289.67989,643.5210000678725,1764214289.9043727,655.2016710125704,1764214290.0840263
646.8122622874542,1764214290.3087676,643.7297770366789,1764214290.5345442,643.7352237869192,1764214290.7594311,654.1656418138199,1764214290.9837778
646.2793613420516,1764214291.209604,643.7326617126392,1764214291.4466186,643.5082014635099,1764214291.6589832,654.123248430959,1764214291.8835723
646.8470033066554,1764214292.1089509,643.4512287233113,1764214292.3341973,643.5958482997247,1764214292.5589373,654.7241876013062,1764214292.7404945
646.6050194198502,1764214292.964302,643.914003342308,1764214293.1437817,643.0635009072702,1764214293.3698666,654.1929199571108,1764214293.5944407
646.4132794659606,1764214293.8191285,643.6793801984207,1764214294.0436127,643.831302645528,1764214294.2704587,654.2325934104389,1764214294.5010011
646.2540039314233,1764214294.7190707,643.713215158997,1764214294.944748,643.711384674587,1764214295.1703262,654.742725691936,1764214295.3491488
646.135179733976,1764214295.5739772,643.5326325581559,1764214295.7992551,643.5987816451338,1764214296.028067,654.465784554221,1764214296.2529798
646.268792008692,1764214296.4978244,643.6361415829015,1764214296.7899113,643.5543035338251,1764214297.0144176,653.6866215884098,1764214297.2401319
646.4860410022598,1764214297.476357,643.7869276268519,1764214297.7345026,643.5462072172319,1764214297.9341416,653.9666402122442,1764214298.1400146
646.2882913352267,1764214298.3655922,643.6805385407216,1764214298.604571,643.6406240369638,1764214298.814853,653.7975030418768,1764214299.0389125
646.7239193696611,1764214299.2647321,643.5434390013685,1764214299.5115302,643.6312157488296,1764214299.759098,654.6483144809966,1764214299.984723
646.4104305227743,1764214300.209299,643.8893420577659,1764214300.4422605,643.7241405117263,1764214300.7043762,654.2854285853142,1764214300.8849134
